,cumDailyNsoDeathsByDeathDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,hospitalCases,uniquePeopleTestedBySpecimenDateRollingSum
707,4,10662659,0,3
708,4,10258664,0,3
709,4,9922332,0,3
710,4,9671834,0,3
711,4,9470030,0,3
712,4,8967008,0,3
713,4,8494104,0,3
714,4,8091741,0,3
715,4,7757619,0,3
716,4,7485454,0,3
717,4,7289181,0,3
718,4,7123525,0,3
719,4,6644940,0,3
720,4,6221013,0,3
721,4,5793730,0,3
722,4,5400053,0,3
723,4,5226402,0,2
724,4,5169443,0,3
725,4,5126764,0,3
726,4,4963505,0,3
727,4,4735330,0,3
728,4,4308627,0,3
729,4,3938953,0,3
730,4,3672102,0,3
731,4,3518150,0,3
732,4,3418456,0,3
733,4,3156031,0,3
734,4,2912112,0,3
735,4,2665846,0,3
736,4,2428048,0,3
737,4,2259240,0,3
738,4,2174101,0,3
739,4,2133271,0,3
740,4,2039499,0,3
741,4,1920925,0,3
742,4,1791260,0,3
743,4,1673985,0,3
744,4,1577473,0,3
745,4,1525666,0,3
746,4,1501448,0,3
747,4,1450402,0,3
748,4,1366635,0,3
749,4,1292592,0,3
750,4,1199715,1,3
751,4,1127412,1,3
752,4,1090246,1,3
753,4,1072258,1,3
754,4,1040936,1,3
755,4,987520,1,3
756,4,920960,1,3
757,4,853257,1,3
758,4,802610,1,3
759,3,814509,1,3
760,3,626863,1,3
761,3,626863,1,3
762,3,626863,1,3
763,3,626863,1,3
764,3,626863,1,3
765,3,626863,2,3
766,3,626863,2,3
767,3,541735,2,3
768,3,541735,2,3
769,3,541735,2,3
770,3,541735,2,3
771,3,541735,2,3
772,3,541735,2,3
773,3,541735,2,4
774,3,515075,2,4
775,3,515075,2,4
776,3,515075,2,4
777,3,515075,3,4
778,3,515075,3,4
779,3,515075,3,4
780,3,515075,3,4
781,3,497644,3,4
782,3,497644,3,4
783,2,497644,3,4
784,2,497644,3,4
785,2,497644,5,4
786,2,497644,5,4
787,2,497644,5,4
788,2,484145,5,4
789,2,484145,5,4
790,2,484145,5,4
791,2,484145,5,4
792,2,484145,5,4
793,2,484145,5,4
794,2,484145,5,4
795,1,473259,5,4
796,1,473259,5,4
797,1,473259,5,4
798,1,473259,5,5
